,Dice
201,0.22617872992759555
202,0.24143321788740643
203,0.23637075814932573
204,0.22639775111057858
205,0.23657321947157883
206,0.23208443343793111
207,0.22642932313137704
208,0.22816047928456826
209,0.2384835287640429
210,0.2318210902795017
211,0.23409318741294133
212,0.23150113170009354
213,0.23492523461958062
214,0.23120229458105315
215,0.23142403958606
216,8.600087108562306e-09
217,0.0
218,0.0
219,2.5795445001628444e-08
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,3.402250727497957e-08
227,8.54686547832445e-09
228,0.0
229,1.7137911606739324e-08
230,8.579161079613127e-09
231,8.556841674529762e-09
232,8.562315918770062e-09
233,0.0
234,1.6804183704008418e-08
235,1.7005527957213377e-08
236,8.466445075810771e-09
237,8.380455903589325e-09
238,2.5527374062593344e-08
239,2.5146020531398867e-08
240,0.0
241,0.0
242,3.403102652077458e-08
243,1.698605027415655e-08
244,3.37907742502068e-08
245,1.7012286724297885e-08
246,8.489204321310611e-09
247,2.5154354033798747e-08
248,0.0
249,2.549385051359529e-08
250,1.7058738601979907e-08
