,PSNR
201,27.505318429275178
202,31.17141586334368
203,31.506304214430124
204,31.31999917149576
205,31.610013842506316
206,31.641857028854893
207,31.64430014545003
208,31.6334963140899
209,31.64482040864396
210,31.649062328407666
211,31.637369812004202
212,31.647359965141796
213,31.645173292155658
214,31.646300973000983
215,31.650244993999927
216,31.320063509000185
217,31.28584755399801
218,31.2837283132019
219,31.324737212237338
220,31.30845882596239
221,31.31608184253679
222,31.30990576362466
223,31.32316934883816
224,31.315540845844183
225,31.325630600606083
226,31.337707268929694
227,31.33789527258186
228,31.338443954308598
229,31.338930836331002
230,31.33905772122937
231,31.338104951682336
232,31.3383740546943
233,31.337998957300396
234,31.31208228519639
235,31.32622792139029
236,31.32759572599842
237,31.329140426952677
238,31.330341000635702
239,31.32974032350685
240,31.32918018497427
241,31.32693547294634
242,31.323530523797984
243,31.32521593962442
244,31.32465638429035
245,31.314969673761254
246,31.305951780214247
247,31.294204445264068
248,31.275165230444372
249,31.266846579046224
250,31.263300840034518
